Age,Age_Group,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,Income_K,Loan_Amount_K,Assets_Value_K,Debt_to_Income_Bin
49,41-50,Male,PhD,Divorced,72799.0,688.0,45713.0,Business,Unemployed,19,Poor,0.1543132963127,120228.0,0.0,Port Elizabeth,AS,Cyprus,2.0,2,Low,72.799,45.713,120.228,0.1-0.2
57,>50,Female,Bachelor's,Widowed,,690.0,33835.0,Auto,Employed,6,Fair,0.148919643224715,55849.0,0.0,North Catherine,OH,Turkmenistan,3.0,2,Medium,,33.835,55.849,0.1-0.2
21,21-30,Non-binary,Master's,Single,55687.0,600.0,36623.0,Home,Employed,8,Fair,0.36239801732546,180700.0,3.0,South Scott,OK,Luxembourg,3.0,2,Medium,55.687,36.623,180.7,0.3-0.4
59,>50,Male,Bachelor's,Single,26508.0,622.0,26541.0,Personal,Unemployed,2,Excellent,0.454964380733794,157319.0,3.0,Robinhaven,PR,Uganda,4.0,2,Medium,26.508,26.541,157.319,0.4-0.5
25,21-30,Non-binary,Bachelor's,Widowed,49427.0,766.0,36528.0,Personal,Unemployed,10,Fair,0.143242424020461,287140.0,,New Heather,IL,Namibia,3.0,1,Low,49.427,36.528,287.14,0.1-0.2
30,21-30,Non-binary,PhD,Divorced,,717.0,15613.0,Business,Unemployed,5,Fair,0.295984450043085,,4.0,Brianland,TN,Iceland,3.0,1,Medium,,15.613,,0.2-0.3
31,31-40,Non-binary,Master's,Widowed,45280.0,672.0,6553.0,Personal,Self-employed,1,Good,0.378889937415317,,,West Lindaview,MD,Bouvet Island (Bouvetoya),0.0,1,Low,45.28,6.553,,0.3-0.4
18,<20,Male,Bachelor's,Widowed,93678.0,,,Business,Unemployed,10,Poor,0.396635723616467,246597.0,1.0,Melissahaven,MA,Honduras,1.0,1,Low,93.678,,246.597,0.3-0.4
32,31-40,Non-binary,Bachelor's,Widowed,20205.0,710.0,,Auto,Unemployed,4,Fair,0.335964977578598,227599.0,0.0,North Beverly,DC,Pitcairn Islands,4.0,2,Low,20.205,,227.599,0.3-0.4
55,>50,Male,Bachelor's,Married,32190.0,600.0,29918.0,Personal,Self-employed,5,Excellent,0.484333304559367,130507.0,4.0,Davidstad,VT,Thailand,,2,Low,32.19,29.918,130.507,0.4-0.5
42,41-50,Non-binary,Master's,Single,116212.0,707.0,24771.0,Home,Employed,11,Excellent,0.114133747598295,212198.0,3.0,Matthewborough,NH,French Guiana,0.0,2,Medium,116.212,24.771,212.198,0.1-0.2
37,31-40,Non-binary,Master's,Divorced,78855.0,718.0,,Home,Self-employed,17,Poor,0.19392128861142,272522.0,,Orrstad,OH,Antarctica (the territory South of 60 deg S),3.0,2,Low,78.855,,272.522,0.1-0.2
60,>50,Female,PhD,Divorced,,686.0,15497.0,Personal,Self-employed,18,Poor,0.328174707422527,47603.0,4.0,West Kelseymouth,NM,Eritrea,2.0,2,High,,15.497,47.603,0.3-0.4
68,>50,Male,High School,Divorced,79454.0,688.0,43365.0,Personal,Self-employed,15,Good,0.329281543850365,61967.0,,Dakotafurt,IA,Grenada,3.0,0,Medium,79.454,43.365,61.967,0.3-0.4
29,21-30,Male,High School,Divorced,119510.0,,5013.0,Auto,Employed,17,Poor,0.499721861193341,50568.0,,Deborahtown,AZ,Solomon Islands,2.0,2,Medium,119.51,5.013,50.568,0.4-0.5
68,>50,Female,PhD,Divorced,,,42951.0,Auto,Self-employed,6,Fair,0.550745935345897,67070.0,4.0,East Kristin,MH,Guadeloupe,2.0,2,Low,,42.951,67.07,
55,>50,Male,High School,Married,70978.0,706.0,36970.0,Personal,Unemployed,19,Excellent,0.2669409092504,54041.0,3.0,Christophermouth,MO,Tonga,1.0,0,Medium,70.978,36.97,54.041,0.2-0.3
18,<20,Female,Master's,Widowed,102628.0,654.0,25442.0,Home,Unemployed,8,Poor,0.161832578822511,,3.0,West Patrick,IA,Taiwan,1.0,2,Medium,102.628,25.442,,0.1-0.2
60,>50,Non-binary,Bachelor's,Divorced,,738.0,37001.0,Business,Employed,7,Fair,0.338970973186693,53055.0,,Johnsonstad,MS,Malawi,1.0,2,Low,,37.001,53.055,0.3-0.4
56,>50,Non-binary,PhD,Married,21084.0,702.0,22039.0,Personal,Employed,19,Fair,0.231046374000312,226053.0,2.0,East James,MP,Isle of Man,0.0,2,Medium,21.084,22.039,226.053,0.2-0.3
26,21-30,Female,PhD,Divorced,51460.0,,29970.0,Business,Unemployed,19,Excellent,0.43023258760059,252797.0,1.0,West Jack,DE,Tonga,3.0,0,Medium,51.46,29.97,252.797,0.4-0.5
22,21-30,Non-binary,PhD,Widowed,100169.0,796.0,,Home,Employed,15,Poor,0.174743185231767,259802.0,3.0,Lake Alicia,UT,Kenya,2.0,0,Medium,100.169,,259.802,0.1-0.2
37,31-40,Non-binary,PhD,Single,,664.0,34904.0,Auto,Self-employed,12,Excellent,0.106281463687386,152686.0,,Lake Timothy,PR,Zambia,3.0,0,Medium,,34.904,152.686,0.1-0.2
64,>50,Non-binary,Bachelor's,Divorced,118318.0,702.0,41029.0,Business,Unemployed,10,Poor,0.228351473241854,,1.0,West Meghanshire,KS,Oman,3.0,1,Low,118.318,41.029,,0.2-0.3
55,>50,Female,High School,Divorced,61811.0,641.0,43859.0,Auto,Self-employed,18,Excellent,0.1997070863614,185670.0,,Aprilland,NH,Uruguay,,0,Low,61.811,43.859,185.67,0.1-0.2
41,41-50,Male,PhD,Single,94796.0,742.0,,Business,Unemployed,16,Good,0.355808375873112,129119.0,2.0,Brittanyton,VI,Gambia,3.0,0,Low,94.796,,129.119,0.3-0.4
36,31-40,Non-binary,PhD,Single,85355.0,667.0,18834.0,Auto,Employed,8,Poor,0.198897711108432,,4.0,Michaelborough,CO,Iran,2.0,2,Medium,85.355,18.834,,0.1-0.2
41,41-50,Male,PhD,Married,93133.0,791.0,14052.0,Business,Employed,13,Poor,0.282850057062695,82774.0,0.0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1.0,0,Low,93.133,14.052,82.774,0.2-0.3
64,>50,Female,PhD,Married,,749.0,38635.0,Personal,Self-employed,16,Fair,0.320230266469369,,3.0,West James,OR,Palau,0.0,1,Low,,38.635,,0.3-0.4
64,>50,Male,PhD,Married,,636.0,21086.0,Auto,Employed,13,Fair,0.460985402435174,261445.0,,South Ryan,IA,Tokelau,4.0,2,Low,,21.086,261.445,0.4-0.5
34,31-40,Male,PhD,Married,115201.0,,21315.0,Personal,Unemployed,10,Poor,0.243942663586609,81794.0,1.0,Marchaven,VA,Saint Pierre and Miquelon,1.0,2,Medium,115.201,21.315,81.794,0.2-0.3
49,41-50,Non-binary,High School,Divorced,109882.0,,35938.0,Home,Unemployed,3,Excellent,0.489437674590907,237388.0,,Pattersonshire,GA,Hungary,2.0,0,Low,109.882,35.938,237.388,0.4-0.5
48,41-50,Non-binary,PhD,Married,46408.0,632.0,48403.0,Personal,Unemployed,16,Excellent,0.185325306417696,93647.0,3.0,South Jason,KS,Guyana,1.0,0,Low,46.408,48.403,93.647,0.1-0.2
69,>50,Non-binary,PhD,Single,38065.0,,15818.0,Business,Self-employed,8,Poor,0.391979313072454,107451.0,3.0,South Peterbury,ID,Cote d'Ivoire,0.0,1,Low,38.065,15.818,107.451,0.3-0.4
57,>50,Female,Bachelor's,Widowed,,673.0,16398.0,Business,Self-employed,8,Fair,0.483784345001697,159119.0,1.0,West Michael,TN,Nauru,1.0,0,Low,,16.398,159.119,0.4-0.5
46,41-50,Non-binary,High School,Widowed,,637.0,6382.0,Auto,Self-employed,2,Good,0.544390400118726,156010.0,4.0,Kevinbury,NM,Guam,2.0,1,Low,,6.382,156.01,
49,41-50,Male,Bachelor's,Divorced,117392.0,685.0,,Business,Self-employed,12,Good,0.470600519291913,261093.0,3.0,North Michael,HI,Burundi,1.0,0,Medium,117.392,,261.093,0.4-0.5
57,>50,Female,Master's,Single,54754.0,604.0,11947.0,Home,Self-employed,13,Good,0.287418593560374,282006.0,,Berryland,VT,Thailand,2.0,0,High,54.754,11.947,282.006,0.2-0.3
41,41-50,Non-binary,High School,Divorced,109379.0,606.0,5252.0,Home,Self-employed,16,Poor,0.454458036581625,,2.0,South Josefurt,OR,Belize,,2,Low,109.379,5.252,,0.4-0.5
